State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Chittoor,6/8/2023,2023,6,0.033450218,IMD GRID MODEL
Andhra Pradesh,Chittoor,6/18/2023,2023,6,0.780503322,IMD GRID MODEL
Andhra Pradesh,Chittoor,6/29/2023,2023,6,0.231466655,IMD GRID MODEL
Andhra Pradesh,Chittoor,7/4/2023,2023,7,4.620443223,IMD GRID MODEL
Andhra Pradesh,Chittoor,7/23/2023,2023,7,5.129037802,IMD GRID MODEL
Andhra Pradesh,Chittoor,7/29/2023,2023,7,0.247196236,IMD GRID MODEL
Andhra Pradesh,Chittoor,8/1/2023,2023,8,1.236122375,IMD GRID MODEL
Andhra Pradesh,Chittoor,8/7/2023,2023,8,0.345710952,IMD GRID MODEL
Andhra Pradesh,Chittoor,8/10/2023,2023,8,3.2413289,IMD GRID MODEL
Andhra Pradesh,Chittoor,8/16/2023,2023,8,4.068820035,IMD GRID MODEL
Andhra Pradesh,Chittoor,8/28/2023,2023,8,0.082537093,IMD GRID MODEL
Andhra Pradesh,Chittoor,9/2/2023,2023,9,4.103116291,IMD GRID MODEL
Andhra Pradesh,Chittoor,9/4/2023,2023,9,3.641236812,IMD GRID MODEL
Andhra Pradesh,Chittoor,9/5/2023,2023,9,2.287975379,IMD GRID MODEL
Andhra Pradesh,Chittoor,9/10/2023,2023,9,0.575071642,IMD GRID MODEL
Andhra Pradesh,Chittoor,9/16/2023,2023,9,5.896397327,IMD GRID MODEL
Andhra Pradesh,Chittoor,9/18/2023,2023,9,5.117772576,IMD GRID MODEL
Andhra Pradesh,Chittoor,9/21/2023,2023,9,1.908590938,IMD GRID MODEL
Andhra Pradesh,Chittoor,9/25/2023,2023,9,27.13395549,IMD GRID MODEL
Andhra Pradesh,Chittoor,9/28/2023,2023,9,4.547843164,IMD GRID MODEL
Andhra Pradesh,Chittoor,10/21/2023,2023,10,0.796415675,IMD GRID MODEL
Andhra Pradesh,Chittoor,10/25/2023,2023,10,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,11/8/2023,2023,11,5.311079526,IMD GRID MODEL
Andhra Pradesh,Chittoor,11/9/2023,2023,11,4.074286391,IMD GRID MODEL
Andhra Pradesh,Chittoor,11/12/2023,2023,11,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,11/21/2023,2023,11,3.483823249,IMD GRID MODEL
Andhra Pradesh,Chittoor,11/29/2023,2023,11,8.744035457,IMD GRID MODEL
Andhra Pradesh,Chittoor,12/1/2023,2023,12,7.314377095,IMD GRID MODEL
Andhra Pradesh,Chittoor,12/4/2023,2023,12,36.03999696,IMD GRID MODEL
Andhra Pradesh,Chittoor,12/9/2023,2023,12,0.00707026,IMD GRID MODEL
Andhra Pradesh,Chittoor,12/13/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,12/15/2023,2023,12,0.004340345,IMD GRID MODEL
Andhra Pradesh,Chittoor,12/16/2023,2023,12,2.064436808,IMD GRID MODEL
Andhra Pradesh,Chittoor,12/24/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,12/29/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,12/31/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,1/15/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,1/24/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,1/29/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,1/31/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2/1/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2/23/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2/24/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2/25/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,3/17/2023,2023,3,5.04122222,IMD GRID MODEL
Andhra Pradesh,East Godavari,3/18/2023,2023,3,2.031731572,IMD GRID MODEL
Andhra Pradesh,East Godavari,3/24/2023,2023,3,4.155256289,IMD GRID MODEL
Andhra Pradesh,East Godavari,4/7/2023,2023,4,3.808464082,IMD GRID MODEL
Andhra Pradesh,East Godavari,4/8/2023,2023,4,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,4/18/2023,2023,4,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,4/21/2023,2023,4,0.286461982,IMD GRID MODEL
Andhra Pradesh,East Godavari,4/23/2023,2023,4,13.14970188,IMD GRID MODEL
Andhra Pradesh,East Godavari,4/24/2023,2023,4,2.88880271,IMD GRID MODEL
Andhra Pradesh,East Godavari,4/26/2023,2023,4,1.072982328,IMD GRID MODEL
Andhra Pradesh,East Godavari,4/27/2023,2023,4,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,5/1/2023,2023,5,22.68448587,IMD GRID MODEL
Andhra Pradesh,East Godavari,5/4/2023,2023,5,22.07773639,IMD GRID MODEL
Andhra Pradesh,East Godavari,5/7/2023,2023,5,3.67609833,IMD GRID MODEL
Andhra Pradesh,East Godavari,5/8/2023,2023,5,2.810811108,IMD GRID MODEL
Andhra Pradesh,East Godavari,5/14/2023,2023,5,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,5/18/2023,2023,5,0.051622232,IMD GRID MODEL
Andhra Pradesh,East Godavari,5/22/2023,2023,5,2.638643995,IMD GRID MODEL
Andhra Pradesh,East Godavari,5/26/2023,2023,5,3.414317339,IMD GRID MODEL
Andhra Pradesh,East Godavari,6/9/2023,2023,6,0.162002473,IMD GRID MODEL
Andhra Pradesh,East Godavari,6/11/2023,2023,6,0.028151553,IMD GRID MODEL
Andhra Pradesh,East Godavari,6/12/2023,2023,6,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,6/18/2023,2023,6,4.351047646,IMD GRID MODEL
Andhra Pradesh,East Godavari,6/23/2023,2023,6,4.216130969,IMD GRID MODEL
Andhra Pradesh,East Godavari,6/27/2023,2023,6,0.341198439,IMD GRID MODEL
Andhra Pradesh,East Godavari,7/4/2023,2023,7,16.34747968,IMD GRID MODEL
Andhra Pradesh,East Godavari,7/10/2023,2023,7,1.195788651,IMD GRID MODEL
Andhra Pradesh,East Godavari,7/11/2023,2023,7,6.942404468,IMD GRID MODEL
Andhra Pradesh,East Godavari,7/14/2023,2023,7,16.83252576,IMD GRID MODEL
Andhra Pradesh,East Godavari,7/16/2023,2023,7,5.504032277,IMD GRID MODEL
Andhra Pradesh,East Godavari,7/17/2023,2023,7,7.230202594,IMD GRID MODEL
Andhra Pradesh,East Godavari,7/23/2023,2023,7,15.60512849,IMD GRID MODEL
Andhra Pradesh,East Godavari,7/25/2023,2023,7,17.1330428,IMD GRID MODEL
Andhra Pradesh,East Godavari,7/26/2023,2023,7,55.24249279,IMD GRID MODEL
Andhra Pradesh,East Godavari,8/3/2023,2023,8,1.085183706,IMD GRID MODEL
Andhra Pradesh,East Godavari,8/4/2023,2023,8,2.468077206,IMD GRID MODEL
Andhra Pradesh,East Godavari,8/5/2023,2023,8,1.801705939,IMD GRID MODEL
Andhra Pradesh,East Godavari,8/7/2023,2023,8,0.306513455,IMD GRID MODEL
Andhra Pradesh,East Godavari,8/12/2023,2023,8,0.268049451,IMD GRID MODEL
Andhra Pradesh,East Godavari,8/13/2023,2023,8,0.084959347,IMD GRID MODEL
Andhra Pradesh,East Godavari,8/16/2023,2023,8,1.513511126,IMD GRID MODEL
Andhra Pradesh,East Godavari,8/17/2023,2023,8,4.860811857,IMD GRID MODEL
Andhra Pradesh,East Godavari,9/4/2023,2023,9,3.254886862,IMD GRID MODEL
Andhra Pradesh,East Godavari,9/5/2023,2023,9,27.7993906,IMD GRID MODEL
Andhra Pradesh,East Godavari,9/6/2023,2023,9,5.28718828,IMD GRID MODEL
Andhra Pradesh,East Godavari,9/9/2023,2023,9,0.701397107,IMD GRID MODEL
Andhra Pradesh,East Godavari,9/24/2023,2023,9,10.09897215,IMD GRID MODEL
Andhra Pradesh,East Godavari,9/27/2023,2023,9,0.532884517,IMD GRID MODEL
Andhra Pradesh,East Godavari,10/2/2023,2023,10,3.196315034,IMD GRID MODEL
Andhra Pradesh,East Godavari,10/14/2023,2023,10,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,10/18/2023,2023,10,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,10/19/2023,2023,10,0.050660898,IMD GRID MODEL
Andhra Pradesh,East Godavari,10/29/2023,2023,10,0.140151568,IMD GRID MODEL
Andhra Pradesh,East Godavari,10/31/2023,2023,10,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,11/3/2023,2023,11,1.28295823,IMD GRID MODEL
Andhra Pradesh,East Godavari,11/9/2023,2023,11,2.38270293,IMD GRID MODEL
